Datetime,Open,High,Low,Close,Volume
,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
2025-08-21 13:30:00+00:00,6380.830078125,6380.830078125,6366.97021484375,6366.97021484375,0
2025-08-21 13:31:00+00:00,6367.0,6372.68017578125,6366.77978515625,6368.0,10776262
2025-08-21 13:32:00+00:00,6367.830078125,6372.6298828125,6367.0498046875,6372.39990234375,10712806
2025-08-21 13:33:00+00:00,6372.39990234375,6378.43994140625,6372.39990234375,6378.02001953125,9993640
2025-08-21 13:34:00+00:00,6378.25,6378.490234375,6374.830078125,6374.830078125,8909179
2025-08-21 13:35:00+00:00,6374.5498046875,6374.5498046875,6371.5,6374.10009765625,10630576
2025-08-21 13:36:00+00:00,6374.330078125,6375.7900390625,6372.68017578125,6374.6201171875,11339736
2025-08-21 13:37:00+00:00,6374.740234375,6378.39990234375,6374.68994140625,6378.02001953125,8291170
2025-08-21 13:38:00+00:00,6378.02001953125,6378.52001953125,6376.64013671875,6377.7001953125,8375605
2025-08-21 13:39:00+00:00,6377.60009765625,6378.77001953125,6376.89013671875,6378.330078125,7338784
2025-08-21 13:40:00+00:00,6378.1298828125,6378.22998046875,6372.8701171875,6372.8701171875,8473806
2025-08-21 13:41:00+00:00,6372.7998046875,6374.08984375,6371.43994140625,6373.60986328125,8476646
2025-08-21 13:42:00+00:00,6373.75,6375.16015625,6372.77001953125,6374.56005859375,7429936
2025-08-21 13:43:00+00:00,6374.56982421875,6376.97021484375,6372.669921875,6375.97998046875,7220554
2025-08-21 13:44:00+00:00,6375.97998046875,6375.97998046875,6373.1201171875,6373.4501953125,7216094
2025-08-21 13:45:00+00:00,6373.35009765625,6374.33984375,6361.35986328125,6363.27001953125,10497905
2025-08-21 13:46:00+00:00,6363.240234375,6363.240234375,6357.7900390625,6358.580078125,9280645
2025-08-21 13:47:00+00:00,6358.64990234375,6368.93994140625,6357.9599609375,6368.18994140625,9090391
2025-08-21 13:48:00+00:00,6368.3798828125,6371.9501953125,6368.3798828125,6369.91015625,7572514
2025-08-21 13:49:00+00:00,6369.68994140625,6374.4501953125,6368.68994140625,6374.4501953125,7386341
2025-08-21 13:50:00+00:00,6374.52978515625,6374.72998046875,6371.56005859375,6371.56005859375,7273879
2025-08-21 13:51:00+00:00,6371.64990234375,6374.0400390625,6369.22021484375,6369.22021484375,6270656
2025-08-21 13:52:00+00:00,6369.22021484375,6374.009765625,6367.97021484375,6371.68017578125,7806582
2025-08-21 13:53:00+00:00,6370.10009765625,6370.1201171875,6367.990234375,6370.0,7062908
2025-08-21 13:54:00+00:00,6369.89013671875,6373.68017578125,6369.89013671875,6372.81005859375,5288510
2025-08-21 13:55:00+00:00,6372.7998046875,6373.4501953125,6367.83984375,6367.83984375,6485787
2025-08-21 13:56:00+00:00,6367.52001953125,6367.52001953125,6365.7900390625,6366.330078125,6213973
2025-08-21 13:57:00+00:00,6366.2099609375,6368.3798828125,6364.6298828125,6368.3798828125,6388014
2025-08-21 13:58:00+00:00,6368.2900390625,6368.35986328125,6365.7001953125,6366.31982421875,5289118
2025-08-21 13:59:00+00:00,6366.2001953125,6366.509765625,6364.93994140625,6365.14013671875,7064415
2025-08-21 14:00:00+00:00,6365.02978515625,6370.60986328125,6360.27001953125,6370.60986328125,10920618
2025-08-21 14:01:00+00:00,6371.0400390625,6375.31982421875,6369.22021484375,6374.3701171875,7624900
2025-08-21 14:02:00+00:00,6374.5,6380.35009765625,6374.5,6380.18017578125,6927198
2025-08-21 14:03:00+00:00,6380.56005859375,6381.0400390625,6378.7900390625,6380.509765625,6149424
2025-08-21 14:04:00+00:00,6380.56982421875,6382.3798828125,6380.56982421875,6381.39990234375,6522653
2025-08-21 14:05:00+00:00,6381.4501953125,6383.10986328125,6381.22021484375,6382.009765625,7595214
2025-08-21 14:06:00+00:00,6381.6298828125,6385.6298828125,6381.240234375,6383.91015625,8256376
2025-08-21 14:07:00+00:00,6383.60009765625,6383.7900390625,6381.58984375,6382.06005859375,5961877
2025-08-21 14:08:00+00:00,6382.02978515625,6384.91015625,6382.02978515625,6383.81982421875,7120780
