EntryTime,ExitTime,Direction,TradePnL
2025-08-19 15:02:00+00:00,2025-08-19 15:23:00+00:00,LONG,40.30126953125
2025-08-19 15:23:00+00:00,2025-08-19 15:43:00+00:00,SHORT,37.69873046875
2025-08-19 15:43:00+00:00,2025-08-19 16:05:00+00:00,LONG,16.8974609375
2025-08-19 16:05:00+00:00,2025-08-19 16:09:00+00:00,SHORT,27.298095703125
2025-08-19 16:09:00+00:00,2025-08-19 17:00:00+00:00,LONG,-55.900634765625
